source,target,mood
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Build your skills today to solve the problems of tomorrow","Spend a short quiz and keep it simple. Tough now, but you’re building momentum for tomorrow.",low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: The future belongs to those who prepare quietly","Spend the next task only and keep it simple. You’re on the right track, and it’s paying off.",high
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Take breaks, allow your mind to consolidate.","Focus on the next task only today. It feels slow today, but this is how progress compounds.",low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Practice self-compassion during setbacks.",Start 10 minutes of practice now—then stop. Hard now—easier later if you keep showing up.,low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Studying consistently builds the future you imagine",Start a 20-minute study session today. This is why progress feels lighter—keep going.,high
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Knowledge is the light that leads you to your ultimate destiny",Show up for one quick review session and keep it simple. This is compounding—each step makes the next one easier.,high
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Growth is a slow process, but quitting won't speed it up","Focus on the next task only and keep it simple. This effort isn’t flashy today, but it pays off sooner than you think.",low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Stay curious, explore new ideas constantly.","Keep one focused lesson and keep it simple. This effort isn’t flashy today, but it pays off sooner than you think.",low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Learn the fundamentals; they unlock advanced work.","Work on one focused lesson now—then stop. This effort isn’t flashy today, but it pays off sooner than you think.",low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Define your goals clearly, then pursue them.","Take 10 minutes with zero distractions now—then stop. It’s hard now, but this is what makes learning easier later.",low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: low_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Build your future with the light of your own soul","Open one small project step and keep it simple. It feels slow today, but this is how progress compounds.",low
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Manage your energy, not just your time.",Work on a short learning session right now. You’ve got real momentum now—learning keeps getting smoother.,high
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Seek out diverse sources of information.",Take the next task only now—then stop. This is compounding—each step makes the next one easier.,high
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Studying is an investment,not a sacrifice",Start a 20-minute study session right now. Your effort is already paying off—keep it rolling.,high
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Knowledge is the light that leads you to your highest self",Show up for one small step in your plan today. Your effort is already paying off—keep it rolling.,high
"task: learning_nudge
tone: encouraging
style: micro_action_future_relief
mood: high_motivation
constraints: start_with_verb; one_small_action; mention_easier_later; 18-28_words
idea: Knowledge is the foundation of a life of service and contribution",Keep a 20-minute study session today. This is why progress feels lighter—keep going.,high
